,Country,City,AccentCity,Region,Population,Latitude,Longitude
855039,es,abaran,Abarán,31,13850,38.205507,-1.399072
855176,es,a coruna,A Coruña,58,236010,43.366609,-8.406812
855192,es,adeje,Adeje,53,22245,28.11984,-16.725581
855203,es,adra,Adra,51,23988,36.747398,-3.015989
855310,es,aguilar de la frontera,Aguilar de la Frontera,51,13557,37.514454,-4.656173
855318,es,aguilas,Águilas,31,30739,37.405983,-1.5853
855323,es,aguimes,Agüimes,53,21908,27.905052,-15.445395
855427,es,albacete,Albacete,54,155083,38.995845,-1.857773
855445,es,albal,Albal,60,13507,39.4,-0.416667
855527,es,albolote,Albolote,51,14355,37.230062,-3.655454
855533,es,alboraya,Alboraya,60,19431,39.5,-0.35
855541,es,albox,Albox,51,10688,37.388557,-2.149495
855568,es,alcala de guadaira,Alcalá de Guadaira,51,58934,37.337906,-5.839506
855570,es,alcala de henares,Alcalá de Henares,29,195152,40.482048,-3.359957
855580,es,alcala la real,Alcalá la Real,51,21377,37.461402,-3.923013
855588,es,alcaniz,Alcañiz,52,13884,41.05,-0.133333
855594,es,alcantarilla,Alcantarilla,31,37969,37.96939,-1.217138
855605,es,alcaudete,Alcaudete,51,11197,37.590912,-4.082367
855611,es,alcazar de san juan,Alcázar de San Juan,54,26976,39.391324,-3.209756
855627,es,alcobendas,Alcobendas,29,101860,40.543933,-3.635688
855659,es,alcorcon,Alcorcón,29,169343,40.346467,-3.812453
855681,es,alcudia,Alcudia,07,14436,39.853605,3.122404
855846,es,alfafar,Alfafar,60,19880,39.416667,-0.383333
855896,es,algeciras,Algeciras,51,104766,36.133257,-5.450511
855897,es,algemesi,Algemesí,60,26222,39.183333,-0.433333
855899,es,algete,Algete,29,17554,40.597109,-3.49743
855904,es,alginet,Alginet,60,12754,39.266667,-0.466667
855921,es,alhama de murcia,Alhama de Murcia,31,18060,37.851027,-1.425066
855925,es,alhaurin de la torre,Alhaurín de la Torre,51,25791,36.663106,-4.562716
855926,es,alhaurin el grande,Alhaurín el Grande,51,19605,36.643002,-4.687276
855976,es,aller,Aller,34,14428,43.16148,-5.623441
856008,es,almansa,Almansa,54,24502,38.869166,-1.097131
856047,es,almendralejo,Almendralejo,57,27423,38.683159,-6.407468
856053,es,almeria,Almería,51,181497,36.833333,-2.45
856080,es,almonte,Almonte,51,18280,37.261589,-6.51691
856082,es,almoradi,Almoradí,60,16415,38.108786,-0.791966
856096,es,almunecar,Almuñécar,51,22157,36.733594,-3.690619
856111,es,alora,Alora,51,13644,36.82389,-4.705908
856182,es,altea,Altea,60,18588,38.599844,-0.050217
856253,es,ames,Amés,58,18960,42.9,-8.633333
856281,es,amposta,Amposta,56,19140,40.710754,0.578086
856287,es,amurrio,Amurrio,59,9806,43.05,-3
856337,es,andoain,Andoain,59,13961,43.220711,-2.020336
